Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Jumpluff (Shadow),94.5,189,grass,flying,97,153.5,155,2308399,41,1500,Fairy Wind,Aerial Ace,Acrobatics,5,7,3,50000
Clodsire,93.9,980,poison,ground,94.2,119.4,209,2352152,29,1490,Poison Sting,Sludge Bomb,Earthquake,6,8,3,50000
Mandibuzz,93.5,630,dark,flying,92.3,149.2,176,2424943,27,1497,Snarl,Dark Pulse,Aerial Ace,4,4,5,75000
Malamar,92.8,687,dark,psychic,118.5,117.1,136,1887141,24,1499,Psywave,Superpower,Foul Play,10,10,3,50000
Corsola (Galarian),92.1,222,ghost,none,99.6,162.1,139,2243153,46.5,1494,Astonish,Night Shade,Power Gem,5,5,3,50000
Lapras,92,131,water,ice,104.7,114,179,2135530,21.5,1497,Psywave,Sparkling Aria,Ice Beam,12,14,5,75000
Tinkaton,92,959,fairy,steel,107.3,136.3,143,2090037,25.5,1497,Fairy Wind,Play Rough,Heavy Slam,7,6,3,75000
Dusclops,91.7,356,ghost,none,103.1,198.9,106,2173343,43,1498,Hex,Ice Punch,Shadow Punch,4,3,3,50000
Sableye (Shadow),91.7,302,dark,ghost,121,123.5,124,1853355,45.5,1499,Shadow Claw,Foul Play,Dazzling Gleam,5,7,5,75000
Dusknoir (Shadow),91.6,477,ghost,none,119.8,172.9,90,1864291,23.5,1499,Astonish,Dynamic Punch,Shadow Punch,5,4,3,50000
Feraligatr (Shadow),91.6,160,water,none,123.3,118,124,1803586,19.5,1493,Shadow Claw,Hydro Cannon,Ice Beam,5,7,3,10000
Corviknight,91.5,823,flying,steel,107.6,128.1,151,2082389,23,1498,Sand Attack,Sky Attack,Iron Head,14,13,1,10000
Clodsire,91.2,980,poison,ground,94.2,119.4,209,2352152,29,1490,Poison Sting,Earthquake,Stone Edge,8,7,3,50000
Feraligatr,91,160,water,none,123.3,118,124,1803586,19.5,1493,Shadow Claw,Hydro Cannon,Ice Beam,5,7,3,10000
Weezing (Galarian) (Shadow),91,110,poison,fairy,118.4,138.9,115,1889997,24.5,1495,Fairy Wind,Sludge,Brutal Swing,5,4,3,50000
Grumpig,90.6,326,psychic,none,114.5,128.3,133,1953798,24,1498,Psywave,Dynamic Punch,Shadow Ball,12,14,1,10000
Dusknoir,89.8,477,ghost,none,119.8,172.9,90,1864291,23.5,1499,Astonish,Dynamic Punch,Shadow Punch,5,4,3,50000
Togetic,89.8,176,fairy,flying,110.6,150,122,2023327,37,1496,Fairy Wind,Psyshock,Dazzling Gleam,5,7,3,50000
Diggersby,89.7,660,normal,ground,96.3,141.2,171,2324733,48,1496,Quick Attack,Fire Punch,Scorching Sands,5,7,1,10000
Primeape,89.7,57,fighting,none,140.2,99.2,115,1598880,24.5,1497,Karate Chop,Rage Fist,Close Combat,4,5,3,50000
Sableye,89.7,302,dark,ghost,121,123.5,124,1853355,45.5,1499,Shadow Claw,Foul Play,Dazzling Gleam,5,7,5,75000
Carbink,89.6,703,rock,fairy,84.9,247.9,126,2650835,50,1500,Rock Throw,Power Gem,Moonblast,10,12,5,75000
Azumarill,89.5,184,water,fairy,93.7,134.1,190,2387435,43.5,1498,Bubble,Ice Beam,Play Rough,5,6,3,50000
Gastrodon,89.4,423,water,ground,114.4,102.5,167,1957876,24.5,1497,Mud Slap,Body Slam,Earth Power,4,6,3,50000
Annihilape (Shadow),89.3,979,fighting,ghost,123.9,106.3,137,1804832,17,1499,Counter,Rage Fist,Ice Punch,6,7,3,50000
Jellicent,89.3,593,water,ghost,106.7,124.3,157,2082451,24,1490,Hex,Surf,Shadow Ball,4,5,3,50000
